"string","string","string","string","string","string","string","string","string"
"release_note_v1_4_0_3","원시 밤바의 궁극기 버프 기간 중 쿨타임이 감소하지 않던 문제 수정 (Lv6에서 4.5%, Lv12에서 14.0% DPS 증가)","Fixed an issue where cooldown did not decrease during Primeval Bomba's Ultimate buff duration (DPS +4.5% at Lv6, +14.0% at Lv12)","原始バンバの究極バフ期間中にクールタイムが減少しない問題を修正（Lv6で4.5%, Lv12で14.0%のDPS増加）","","","","",""
"release_note_v1_4_0_4","캡틴 로카의 바운스 샷 피해량 감쇠를 수정 (Lv6에서 18.7%, Lv12에서 34.7% DPS 감소)","Fixed Captain Roka's Bounce Shot damage falloff (DPS -18.7% at Lv6, -34.7% at Lv12)","キャプテンロカのバウンスショットのダメージ減衰を修正（Lv6で18.7%, Lv12で34.7%のDPS減少）","","","","",""
"release_note_v1_4_0_5","오버클럭 로켓츄의 최첨단 로봇 계산식을 수정 (DPS 61.8% 감소)","Fixed the Advanced Robot formula for Overclock Rocket Chu (DPS -61.8%)","ロケッチューオーバークロックの最先端ロボットの計算式を修正（61.8%のDPS減少）","","","","",""
"release_note_v1_3_1_1","랜슬롯 추가","Added Lancelot","ランスロットの追加","","","","",""
"release_note_v1_3_1_2","가상 적에 태초 추가","Added Primeval to Simulated Enemy","仮想敵に太初を追加","","","","",""
"release_note_v1_3_1_3","구분별 피해량 합계 표시 (단일/범위, 마법/물리)","Added damage total breakdown display (single-target/AoE, magic/physical)","区分別ダメージ合計（単体/範囲, 魔法/物理）を表示","","","","",""
"release_note_v1_3_1_4","가상 적 HP 표시를 단일/범위에 대응하도록 수정","Updated Simulated Enemy HP display to support single-target/AoE","仮想敵HP表示を単体/範囲に対応","","","","",""
"release_note_v1_3_1_5","일부 캐릭터에서 유물 매직 건틀렛이 잘못 적용되거나 누락되던 문제 수정","Fixed an issue where the Magic Gauntlet Relic was incorrectly applied or omitted for some characters","一部のキャラで遺物マジック籠手が誤って適用/未適用されていた問題を修正","","","","",""
"release_note_v1_3_1_6","그런트와 냥법사의 물리/마법 피해 감소를 반영","Applied Grunt and Kitty Mage's physical/magic damage reduction","グラントと猫魔術師の物理/魔法ダメージ軽減を反映","","","","",""
"release_note_v1_1_1_4","전용 보물 '없음'을 추가하고 기본값으로 설정","Added Exclusive Treasure 'None' and set it as the default option","専用財宝「なし」を追加しデフォルトの状態として設定","","","","",""
"release_notes_modal_new","새 릴리스 노트","New Release Notes","新着リリースノート","","","","",""
"release_notes_modal_title","이번 업데이트 내용","What's New","今回の更新内容","","","","",""
"release_notes_modal_dismiss","이 버전은 다시 표시하지 않기","Do not show this version again","このバージョンは二度と表示しない","","","","",""
"release_notes_modal_note","상세한 이력은 페이지 하단의 릴리스 노트에서 확인할 수 있습니다.","You can check the full history in the release notes at the bottom of the page.","詳細な履歴はページ下部のリリースノートから確認できます。","","","","",""
"option_1","이종 신화 수","Different Mythic Count","異種神話数","異種神話數","Nombre de mythiques différents","Anzahl verschiedener Mythics","异种神话数","Cantidad de míticos distintos"
"option_1","적과의 거리(칸 수)","Distance to Enemy (Tiles)","敵との距離（マス数）","與敵人的距離（格數）","Distance à l'ennemi (cases)","Entfernung zum Gegner (Felder)","与敌人的距离（格数）","Distancia al enemigo (casillas)"
"option_1","스트라이크 아웃 평균 횟수","Average Strike-Out Count","ストライクアウト平均回数","三振出局平均次數","Moyenne des retraits sur trois prises","Durchschnittliche Durchgestrichen-Anzahl","三次三振出局平均次数","Promedio de ponches"
"option_1","불꽃 추가 피해","Flame Bonus DMG","火花追加ダメージ","火花額外傷害","Dégâts supplémentaires de Brasier","Zusätzlicher Flammenschaden","火花额外伤害","Daño adicional de Llama"
"option_1","에너지 개수(궁극기 중)","Energy Count (During Ultimate)","エネルギー個数（究極中）","能量數量（終極技能中）","Nombre d'énergie (ultime actif)","Energieanzahl (während Ultimate)","能量数量（终极技能中）","Cantidad de energía (durante la definitiva)"
"option_1","단련","Workout","鍛錬","鍛鍊","Entraînement","Training","锻炼","Entrenamiento"
"option_1","동물 유닛 수","Animal Unit Count","動物ユニット数","動物兵種數量","Nombre d'unités de type animal","Anzahl Tier-Einheiten","动物兵种数量","Cantidad de unidades de tipo animal"
"option_1","드론","Drone","ドローン","無人機","Drone","Drohne","无人机","Dron"
"option_1","잡아먹기 수치","Devour Value","摂取値","吞噬數值","Valeur de Dévoration","Verschlingen-Wert","吞噬数值","Valor de Devorar"
"option_1","빙하 총 개수","Total Glacier Count","氷河の合計個数","冰河總數量","Nombre total de glaciers","Gesamtanzahl der Gletscher","冰河总数量","Cantidad total de glaciares"
"option_1","빙하 명중 확률%","Glacier Hit Chance %","氷河命中確率%","冰河命中機率%","Chance de toucher des glaciers %","Gletscher-Trefferchance %","冰河命中机率%","Probabilidad de impacto de glaciares %"
"option_1","빙하 폭격 명중 수","Glacial Cataclysm Hit Count","氷河爆撃の命中数","冰河轟炸命中數","Nombre de touches de Cataclysme glaciaire","Trefferanzahl von Gletscherkatastrophe","冰河轰炸命中数","Cantidad de impactos de Cataclismo glacial"
"option_1","에이스 배트맨 투수","Ace Bat Man Pitcher","エースバットマン投手","王牌棒棍小子投手","Ace Batte Man Lanceur","Ace Baseballhitter Pitcher","王牌棒棍小子投手","As del Hombre Murciélago Lanzador"
"option_1","에이스 배트맨 타자","Ace Bat Man Batter","エースバットマン打者","王牌棒棍小子打者","Ace Batte Man Frappeur","Ace Baseballhitter Batter","王牌棒棍小子打者","As del Hombre Murciélago Bateador"
"option_1","오버클럭 로켓츄","Overclock Rocket Chu","ロケッチュー（変身後）","超頻火箭啾","Overclock Chu Roquette","Übertaktete Raketen Chu","超频火箭啾","Overclock Rocket Chu"
"option_1","룬 (미구현)","Rune (Not Implemented)","ルーン（未実装）","符石（未實裝）","Rune (non implémentée)","Rune (nicht implementiert)","符石（未实装）","Runa (sin implementar)"
"option_1","룬 희귀도","Rune Rarity","ルーンレアリティ","符石稀有度","Rareté des runes","Runen-Seltenheit","符石稀有度","Rareza de runa"
"option_1","삭제","Delete","削除","刪除","Supprimer","Löschen","删除","Eliminar"
"option_1","계산 중","Calculating","計算中","計算中","Calcul en cours","Wird berechnet","计算中","Calculando"
"option_1","계산 중…","Calculating…","計算中…","計算中…","Calcul en cours…","Wird berechnet…","计算中…","Calculando…"
"option_1","내역","Breakdown","内訳","明細","Détail","Aufschlüsselung","明细","Desglose"
"option_1","기본 공격","Basic Attack","基本攻撃","基本攻擊","Attaque de base","Standardangriff","基本攻击","Ataque básico"
"option_1","적 데이터 없음","No Enemy Data","敵データなし","無敵人資料","Aucune donnée d'ennemi","Keine Gegnerdaten","无敌人数据","Sin datos del enemigo"
"option_1","전송 중…","Sending…","送信中…","送出中…","Envoi en cours…","Wird gesendet…","发送中…","Enviando…"
"option_1","전송되었습니다. 감사합니다.","Sent. Thank you.","送信しました。ありがとうございます。","已送出，謝謝。","Envoyé. Merci.","Gesendet. Vielen Dank.","已发送。谢谢。","Enviado. Gracias."
"option_1","전송에 실패했습니다.","Failed to send.","送信に失敗しました。","送出失敗。","Échec de l'envoi.","Senden fehlgeschlagen.","发送失败。","Error al enviar."
"option_1","새 릴리스 노트","New Release Notes","新着リリースノート","","","","",""
"option_1","이번 업데이트 내용","What's New","今回の更新内容","","","","",""
"option_1","이 버전은 다시 표시하지 않기","Do not show this version again","このバージョンは二度と表示しない","","","","",""
"option_1","닫기","Close","閉じる","","","","",""
"option_1","상세한 이력은 페이지 하단의 릴리스 노트에서 확인할 수 있습니다.","You can check the full history in the release notes at the bottom of the page.","詳細な履歴はページ下部のリリースノートから確認できます。","","","","",""
"option_1","값을 입력하면 여기에 표시됩니다","It will appear here when you enter a value.","値を入力するとここに表示されます","輸入數值後會顯示在這裡","S'affichera ici après saisie d'une valeur","Wird hier angezeigt, wenn ein Wert eingegeben wird","输入数值后会显示在这里","Aparecerá aquí cuando introduzcas un valor."
"option_1","유효한 숫자를 입력하세요","Please enter a valid number","有効な数値を入力してください","請輸入有效數值","Veuillez saisir un nombre valide","Bitte geben Sie eine gültige Zahl ein","请输入有效数值","Introduce un número válido"
"option_1","초월","Eternal","卓越","超越","Éternel","Ewig","超越","Eterno"
